combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
dr_learner+t_learner_ridge,2,rank_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.4191,,
t_learner_lgb,1,single,['t_learner_lgb'],{'t_learner_lgb': 1.0},0.419,0.3427,0.019299999999999984
t_learner_ridge+x_learner,2,ci_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.2407784512156947, 'x_learner': 0.7592215261547517}",0.4146,,
t_learner_ridge+hurdle,2,gap_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.49541284403669716, 'hurdle': 0.5045871559633028}",0.4129,,
t_learner_ridge+hurdle,2,equal,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.5, 'hurdle': 0.5}",0.4112,,
t_learner_ridge+x_learner,2,rank_weights,"['t_learner_ridge', 'x_learner']","{'x_learner': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.4103,,
t_learner_ridge+r_learner,2,gap_weights,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.4945697577276524, 'r_learner': 0.5054302422723476}",0.4072,,
t_learner_ridge+r_learner,2,equal,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.5, 'r_learner': 0.5}",0.4065,,
t_learner_lgb+t_learner_ridge,2,gap_weights,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.5035372451102789, 't_learner_ridge': 0.49646275488972114}",0.4052,,
t_learner_lgb+t_learner_ridge,2,equal,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.5, 't_learner_ridge': 0.5}",0.4049,,
dr_learner+t_learner_ridge,2,gap_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.5024916943521596, 't_learner_ridge': 0.49750830564784054}",0.4035,,
dr_learner+t_learner_ridge,2,equal,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.5, 't_learner_ridge': 0.5}",0.4,,
t_learner_ridge+x_learner,2,gap_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.4928751047778709, 'x_learner': 0.5071248952221291}",0.3985,,
t_learner_ridge+x_learner,2,equal,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.5, 'x_learner': 0.5}",0.3927,,
t_learner_ridge,1,single,['t_learner_ridge'],{'t_learner_ridge': 1.0},0.1554,0.1064,0.02100000000000002
